folio,razon_social,inicio_esperado,termio_esperado,inicio_sira,termio_sira,inicio_ok,termio_ok,resultado,detalle,timestamp
77003,RADIO RECREO SPA,17/07/2023,17/08/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:04
74926,RADIO UNICA LIMITADA,17/07/2023,17/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:08
77492,RADIODIFUSION ADRIAN ESCOBAR ARAVENA EIRL,17/07/2023,11/03/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:11
77821,RADIODIFUSION VERONICA DEL CARMEN SOLORZA VICENCIO E.I.R.L,08/07/2023,11/01/2023,08/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:15
71909,RADIODIFUSORA HERNAN OSVALDO PULGAR AGUILERA E.I.R.L,17/07/2023,11/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:19
72589,RODRIGO ALEJANDRO BERNAL CÁCERES E.I.R.L,08/01/2023,13/10/2023,08/01/2023,,True,None,COINCIDE,,2026-05-27 18:44:22
73226,SERVICIOS E INVERSIONES PEDRO HUGO ARELLANO CARVAJAL EIRL,08/07/2023,30/10/2023,08/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:26
77263,SOCIEDAD CERRO GRANDE,08/01/2023,17/11/2023,08/01/2023,,True,None,COINCIDE,,2026-05-27 18:44:29
72170,SOCIEDAD COMUNICACIONES RAUDAL LTDA,17/07/2023,16/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:33
70793,SOCIEDAD DE COMUNICACIONES SALTO DEL SOLDADO,17/07/2023,17/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:37
72009,SOCIEDAD PUBLIEVENTOS LTDA,17/07/2023,17/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:40
74989,SOCIEDAD RADIO ACONCAGUA LIMITADA,17/07/2023,17/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:44
73739,SOCIEDAD DIFUSORA DE RADIO Y TELEVISIÓN SAN ANTONIO LIMITADA,08/01/2023,27/10/2023,08/01/2023,,True,None,COINCIDE,,2026-05-27 18:44:47
77337,FABIOLA PAMELA TELLO FIGUEROA,17/07/2023,11/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:51
77257,COMUNICACIONES PACIFICO SPA,17/07/2023,16/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:55
77181,COSTA COMUNICACIONES SPA,17/07/2023,15/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:58
70236,PRELUDIO COMUNICACIONES SPA,17/07/2023,15/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:02
77562,RADIO PORTALES VALPARAISO S.A.,17/07/2023,26/10/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:05
74919,MANUEL ALFONSO DÍAZ VILLAGRÁN,17/07/2023,11/10/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:09
77412,SOCIEDAD RADIODIFUSORA Y TELEVISION CRYSTAL LIMITADA,08/07/2023,17/11/2023,08/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:12
77176,FELIPE IGNACIO GUERRA ESPINOZA,17/07/2023,11/10/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:16
77305,OSMÁN SANTIAGO BRICHETTO AGUILERA,21/07/2023,10/06/2023,21/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:20
70037,HUGO ALEXIS MÉNDEZ DÍAZ,17/07/2023,14/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:23
73951,RAQUEL MARGARITA CONCHA PRADO,17/07/2023,17/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:27
76889,SILVIA MIROSLAVA DEL CARMEN GUERRA YERKOVIC,17/07/2023,11/03/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:30
77482,COMUNICACIONES ACONCAGUA SPA.,08/01/2023,17/11/2023,08/01/2023,,True,None,COINCIDE,,2026-05-27 18:45:34
74637,RADIO Y TELEVISION DE CASABLANCA SPA,17/07/2023,11/01/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:38
75516,COMUNICACIONES HUMBERTO RAFAEL LÓPEZ VERGARA E.I.R.L.,08/01/2023,11/05/2023,08/01/2023,,True,None,COINCIDE,,2026-05-27 18:45:41
73021,AGRUPACIÓN COMUNITARIA PURA VIDA MADREBEBÉ,19/06/2023,15/10/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:45:45
72057,AGRUPACIÓN DE CLUBES DE ADULTO MAYOR DE PLACILLA,29/07/2023,14/10/2023,29/07/2023,,True,None,COINCIDE,,2026-05-27 18:45:48
75192,AGRUPACIÓN TERCERA EDAD Y PACIENTES CRÓNICOS VERDE ESPERANZA,07/03/2023,16/10/2023,07/03/2023,,True,None,COINCIDE,,2026-05-27 18:45:52
76761,APODERADOS Y AMIGOS DEL GRUPO SCOUT CAPITAN AQUILES RAMIREZ,30/06/2023,29/07/2023,30/06/2023,,True,None,COINCIDE,,2026-05-27 18:45:56
72537,ASOCIACIÓN DEPORTIVA PEDRO AGUIRRE CERDA,19/06/2023,30/09/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:45:59
73834,CLUB ADULTO MAYOR ACTIVA Y JOVIALES,27/06/2023,10/12/2023,27/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:03
72754,CLUB DE ADULTO MAYOR SONRISA Y CORAZONES,08/04/2023,10/06/2023,08/04/2023,,True,None,COINCIDE,,2026-05-27 18:46:06
76437,CLUB DEPORTIVO CHILE WANDERERS,29/07/2023,15/10/2023,29/07/2023,,True,None,COINCIDE,,2026-05-27 18:46:10
75741,CLUB DEPORTIVO NEW CRUSADERS,19/06/2023,19/10/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:14
70373,CLUB DEPORTIVO VILLARRICA,19/06/2023,19/10/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:17
