region,folio,tipo,accion,detalle
ATACAMA,58844,rendicion,DRY_RUN,FOLIO 58844- JUNTA DE VECINOS VILLA ESPERANZA II.pdf → Rendición - 58844.pdf
ATACAMA,58939,garantia,DRY_RUN,FOLIO 58939- UNION COMUNAL DE JUNTAS DE VECINOS CANDELARIA GONEYECHEA.pdf → Garantía - 58939.pdf
ATACAMA,58939,rendicion,DRY_RUN,FOLIO 58939- UNION COMUNAL DE JUNTA DE VECINO CANDELARIA GONEYECHEA.pdf → Rendición - 58939.pdf
ATACAMA,58967,garantia,DRY_RUN,FOLIO 58967- JUNTA DE VECINO VILLA EL TAMBO COPIAPO.pdf → Garantía - 58967.pdf
ATACAMA,58967,rendicion,DRY_RUN,FOLIO 58967- JUNTA DE VECINO VILLA EL TAMBO COPIAPO.pdf → Rendición - 58967.pdf
ATACAMA,59440,garantia,DRY_RUN,FOLIO 59440- CLUB DE ADULTO MAYOR DESIERTO FLORIDO SAN PEDRO.pdf → Garantía - 59440.pdf
ATACAMA,59440,rendicion,DRY_RUN,FOLIO 59440- CLUB DE ADULTO MAYOR DESIERTO FLORIDO SAN PEDRO.pdf → Rendición - 59440.pdf
ATACAMA,59667,garantia,DRY_RUN,FOLIO 59667- JUNTA DE VECINOS ESTRELLA.pdf → Garantía - 59667.pdf
ATACAMA,59667,rendicion,DRY_RUN,FOLIO 59667- JUNTA DE VECINOS ESTRELLA.pdf → Rendición - 59667.pdf
ATACAMA,59960,garantia,DRY_RUN,FOLIO 59960- JUNTA DE VECINOS N°10 HUASCO III.pdf → Garantía - 59960.pdf
ATACAMA,59960,rendicion,DRY_RUN,FOLIO 59960- JUNTA DE VECINOS N°10 HUASCO III.pdf → Rendición - 59960.pdf
ATACAMA,60121,garantia,DRY_RUN,FOLIO 60121- JUNTA VECINAL VENTANAS.pdf → Garantía - 60121.pdf
ATACAMA,60121,rendicion,DRY_RUN,FOLIO 60121- JUNTA VECINAL VENTANAS.pdf → Rendición - 60121.pdf
ATACAMA,60202,garantia,DRY_RUN,FOLIO 60202- JUNTA DE VECINOS JARDINES DEL PALOMAR.pdf → Garantía - 60202.pdf
