fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria,folio_match,n_matches
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\19 59796 Fundación Juntos Por Aysén.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\19 59796 Fundación Juntos Por Aysén.pdf,19 59796 Fundación Juntos Por Aysén.pdf,.pdf,758.2,59796,,1,garantia,59796,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\2 58841 AGRUP CULTURAL DE ARTESANAS MANOS AMIGAS.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\2 58841 AGRUP CULTURAL DE ARTESANAS MANOS AMIGAS.pdf,2 58841 AGRUP CULTURAL DE ARTESANAS MANOS AMIGAS.pdf,.pdf,674.8,58841,,1,garantia,58841,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\20 60001 Fundación Raíces Vivas.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\20 60001 Fundación Raíces Vivas.pdf,20 60001 Fundación Raíces Vivas.pdf,.pdf,619.4,60001,,1,garantia,60001,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\21 58494 JUNTA DE VECINOS ACHEN AMPLIACIÓN PABLO NERUDA.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\21 58494 JUNTA DE VECINOS ACHEN AMPLIACIÓN PABLO NERUDA.pdf,21 58494 JUNTA DE VECINOS ACHEN AMPLIACIÓN PABLO NERUDA.pdf,.pdf,752.4,58494,,1,garantia,58494,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\22 60038 Agrup. de fam y amigos de los enf post el Sueño de Carol.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\22 60038 Agrup. de fam y amigos de los enf post el Sueño de Carol.pdf,22 60038 Agrup. de fam y amigos de los enf post el Sueño de Carol.pdf,.pdf,882.5,60038,,1,garantia,60038,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\23 60090 Club deportivo arbitros coyhaique ANFA.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\23 60090 Club deportivo arbitros coyhaique ANFA.pdf,23 60090 Club deportivo arbitros coyhaique ANFA.pdf,.pdf,769.3,60090,,1,garantia,60090,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\24 60199 CAM BAJANDO PA PUERTO AYSEN.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\24 60199 CAM BAJANDO PA PUERTO AYSEN.pdf,24 60199 CAM BAJANDO PA PUERTO AYSEN.pdf,.pdf,882.0,60199,,1,garantia,60199,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\25 58899 COMITE DE HORT GM DE PUERTO IBAÑEZ.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\25 58899 COMITE DE HORT GM DE PUERTO IBAÑEZ.pdf,25 58899 COMITE DE HORT GM DE PUERTO IBAÑEZ.pdf,.pdf,747.9,58899,,1,garantia,58899,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\26 56135 AGRUPACIÓN CULTURAL SINFONÍA DEL VIENTO.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\26 56135 AGRUPACIÓN CULTURAL SINFONÍA DEL VIENTO.pdf,26 56135 AGRUPACIÓN CULTURAL SINFONÍA DEL VIENTO.pdf,.pdf,782.9,56135,,1,garantia,56135,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\3 57287 Feria Campesina Libre.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\3 57287 Feria Campesina Libre.pdf,3 57287 Feria Campesina Libre.pdf,.pdf,817.9,57287,,1,garantia,57287,1
