fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,58129,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Garantía - 58129.pdf,01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Garantía - 58129.pdf,Garantía - 58129.pdf,.pdf,246.1,58129,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Egreso - 59302.pdf,01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Egreso - 59302.pdf,Egreso - 59302.pdf,.pdf,12.6,59302,,1,otro
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Garantía - 59302.pdf,01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Garantía - 59302.pdf,Garantía - 59302.pdf,.pdf,641.3,59302,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,59302,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,59302,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Convenio - 59302.pdf,01. ARICA - FFOIP/59302 - CLUB DE FOTOGRAFIA ARICA/Convenio - 59302.pdf,Convenio - 59302.pdf,.pdf,3881.8,59302,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Convenio - 55306.pdf,01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Convenio - 55306.pdf,Convenio - 55306.pdf,.pdf,4001.8,55306,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Egreso - 55306.pdf,01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Egreso - 55306.pdf,Egreso - 55306.pdf,.pdf,12.6,55306,,1,otro
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,55306,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,55306,,1,acto_administrativo
