region,folio,razon_social,convenio,resolucion,egreso,rendicion,garantia,completo,faltantes
RM,58465,TAÑI RUKA MEU,✓,✓,✓,FALTA,-,NO,rendicion
RM,58485,FUNDACIÓN ERES,✓,✓,✓,FALTA,-,NO,rendicion
RM,58758,ORGANIZACIÓN COMUNITARIA,✓,✓,✓,FALTA,✓,NO,rendicion
RM,58788,FUNDACIÓN GESTIONA E INNOVA EDUCATIVA,✓,✓,✓,FALTA,-,NO,rendicion
RM,58791,"ORGANIZACION SOCIAL Y DEPORTIVA THANOS, MELIPILLA",✓,✓,✓,FALTA,-,NO,rendicion
RM,58804,CENTRO CULTURAL LA AMBULANCIA DE LA RISA,✓,✓,✓,FALTA,-,NO,rendicion
RM,58829,CENTRO DE PROMOCIÓN Y PREVENCIÓN EN SALUD MENTAL CLARITA DE LARMINAT,✓,✓,✓,FALTA,✓,NO,rendicion
RM,58944,JUNTA DE VECINOS N°59 VILLA FANTASIA,✓,✓,✓,FALTA,-,NO,rendicion
RM,58951,AGRUPACION JUVENIL CULTURAL DEPORTIVO RAIMAPU,FALTA,✓,✓,FALTA,-,NO,"convenio, rendicion"
RM,59006,COMUNIDAD INDÍGENA QUINÁN CHICUY,✓,✓,FALTA,FALTA,-,NO,"egreso, rendicion"
