region,folio,tipo,accion,detalle
RM,57609,convenio,OK,CONVENIO - INGENIEROS SF CHILE20220720_16231936.pdf → Convenio - 57609.pdf (score=2)
RM,57609,resolucion,OK,272-715.pdf → Resolución - 57609.pdf
RM,57720,egreso,OK,65184409-6.pdf → Egreso - 57720.pdf
RM,57720,convenio,OK,CONVENIO CENTRO DE DESARROLLO SOCIAL MAESTRANZA + CULTURA.pdf → Convenio - 57720.pdf (score=3)
RM,57720,resolucion,OK,272-714.pdf → Resolución - 57720.pdf
RM,57798,egreso,SIN_MATCH_RUT,RUT=73597200-6
RM,57798,convenio,OK,CONVENIO ALDEAS INFANTILES SOS CHILE..pdf → Convenio - 57798.pdf (score=3)
RM,57798,resolucion,OK,272-715.pdf → Resolución - 57798.pdf
RM,57810,egreso,OK,65007333-9.pdf → Egreso - 57810.pdf
RM,57810,convenio,OK,CONVENIO AGRUPACION DE MUJERES ALFA Y OMEGA UNIVERSAL.pdf → Convenio - 57810.pdf (score=3)
RM,57810,resolucion,OK,272-714.pdf → Resolución - 57810.pdf
RM,57818,carpeta,SIN_CARPETA,57818 - ORGANIZACIÓN CULTURAL Y DE ADULTO MAYOR LAS TORCACITAS.
RM,57827,egreso,OK,65176067-4.pdf → Egreso - 57827.pdf
RM,57827,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=FUNDACIÓN SOY CUERPO
RM,57827,resolucion,OK,272-714.pdf → Resolución - 57827.pdf
RM,57990,egreso,OK,82190000-K.pdf → Egreso - 57990.pdf
RM,57990,convenio,OK,CONVENIO CUERPO DE BOMBEROS DE CONCHALÍ-HUECHURABA.pdf → Convenio - 57990.pdf (score=4)
RM,57990,resolucion,OK,272-714.pdf → Resolución - 57990.pdf
RM,57991,egreso,OK,65174184-K.pdf → Egreso - 57991.pdf
RM,57991,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=ORGANIZACIÓN DEPORTIVO CULTURAL Y SOCIAL
RM,57991,resolucion,OK,272-714.pdf → Resolución - 57991.pdf
RM,58094,egreso,SIN_MATCH_RUT,RUT=65168713-6
RM,58094,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=ORGANIZACION NO GUBERNAMENTAL DE SALUD P
RM,58094,resolucion,OK,272-715.pdf → Resolución - 58094.pdf
RM,58242,egreso,OK,65078645-9.pdf → Egreso - 58242.pdf
RM,58242,convenio,OK,CONVENIO TODOS POR UN TANGO.pdf → Convenio - 58242.pdf (score=2)
RM,58242,resolucion,OK,272-714.pdf → Resolución - 58242.pdf
RM,58252,egreso,OK,65215730-0.pdf → Egreso - 58252.pdf
RM,58252,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=JUNTA DE VECINOS EL PORTEZUELO
RM,58252,resolucion,OK,272-714.pdf → Resolución - 58252.pdf
RM,58277,egreso,OK,65111968-5.pdf → Egreso - 58277.pdf
RM,58277,convenio,OK,CONVENIO - FUNDACION MOVIMIENTO CRISTIANO20220720_18460410.pdf → Convenio - 58277.pdf (score=2)
RM,58277,resolucion,OK,272-714.pdf → Resolución - 58277.pdf
RM,58465,egreso,OK,65142785-1.pdf → Egreso - 58465.pdf
RM,58465,convenio,SIN_MATCH_RAZON,mejor_score=0 razon=TAÑI RUKA MEU
RM,58465,resolucion,OK,272-714.pdf → Resolución - 58465.pdf
RM,58485,egreso,OK,65090547-4.pdf → Egreso - 58485.pdf
RM,58485,convenio,SIN_MATCH_RAZON,mejor_score=0 razon=FUNDACIÓN ERES
RM,58485,resolucion,OK,272-714.pdf → Resolución - 58485.pdf
RM,58758,egreso,OK,65203744-5.pdf → Egreso - 58758.pdf
RM,58758,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=ORGANIZACIÓN COMUNITARIA
RM,58758,resolucion,OK,272-714.pdf → Resolución - 58758.pdf
RM,58788,egreso,OK,65190641-5.pdf → Egreso - 58788.pdf
RM,58788,convenio,OK,CONVENIO - GESTIONA E INNOVA20220718_09200951.pdf → Convenio - 58788.pdf (score=2)
RM,58788,resolucion,OK,272-714.pdf → Resolución - 58788.pdf
RM,58791,egreso,OK,65188231-1.pdf → Egreso - 58791.pdf
RM,58791,convenio,OK,CONVENIO THANOS MELIPILLA.pdf → Convenio - 58791.pdf (score=2)
RM,58791,resolucion,OK,272-714.pdf → Resolución - 58791.pdf
